customer_id,Recency,Frequency,Monetary_Value,Support_Complaints,Web_Interactions,Segment
CUST00001,107,6,2955.57,2.0,1,Dormant Customers
CUST00002,40,1,581.0,1.0,1,Dormant Customers
CUST00003,171,1,649.98,0.0,1,Dormant Customers
CUST00004,131,1,1604.04,0.0,1,Dormant Customers
CUST00005,38,4,2550.91,1.0,1,Loyal Customers
CUST00006,51,5,3770.16,2.0,1,Dormant Customers
CUST00007,3,1,719.33,0.0,1,Dormant Customers
CUST00008,47,4,2747.33,1.0,1,Dormant Customers
CUST00009,31,1,376.85,0.0,1,Dormant Customers
CUST00010,9,1,636.8,0.0,1,Dormant Customers
CUST00011,1,2,925.07,0.0,1,Dormant Customers
CUST00012,50,2,2051.63,1.0,1,Dormant Customers
CUST00013,61,3,1754.44,1.0,1,Dormant Customers
CUST00014,51,11,8130.16,2.0,1,At-Risk Spenders
CUST00015,35,4,4200.93,0.0,1,Loyal Customers
CUST00016,215,1,478.02,1.0,1,Dormant Customers
CUST00017,286,3,1699.14,0.0,1,Dormant Customers
CUST00018,111,1,329.21,0.0,1,Dormant Customers
CUST00019,9,2,1598.93,0.0,1,Dormant Customers
CUST00020,368,3,4120.680799999998,1.0,1,At-Risk Spenders
CUST00021,77,2,1059.3,1.0,1,Dormant Customers
CUST00022,29,1,454.06,0.0,1,Dormant Customers
CUST00023,21,1,400.98,0.0,1,Dormant Customers
CUST00024,4,1,481.35,0.0,1,Dormant Customers
CUST00025,165,7,4868.86,3.0,1,At-Risk Spenders
CUST00026,72,3,3561.3900000000003,1.0,1,Dormant Customers
CUST00027,70,1,2128.34,1.0,1,Dormant Customers
CUST00028,83,2,1489.7800000000002,1.0,1,Dormant Customers
CUST00029,18,8,5252.9,0.0,1,Champions
CUST00030,5,6,3435.59,2.0,1,Champions
CUST00031,49,1,672.95,0.0,1,Dormant Customers
CUST00032,33,3,1948.75,0.0,1,Loyal Customers
CUST00033,12,4,2128.09,2.0,1,Dormant Customers
CUST00034,50,6,3353.01,3.0,1,At-Risk Spenders
CUST00035,127,3,1369.71,0.0,1,Dormant Customers
CUST00036,27,4,1737.33,1.0,1,Loyal Customers
CUST00037,102,1,435.83,0.0,1,Dormant Customers
CUST00038,51,4,2104.61,1.0,1,Dormant Customers
CUST00039,15,3,1598.49,0.0,1,Loyal Customers
CUST00040,154,1,634.73,1.0,1,Dormant Customers
CUST00041,54,4,1911.86,1.0,1,Dormant Customers
CUST00042,87,9,7523.74,6.0,1,At-Risk Spenders
CUST00043,24,1,363.01,0.0,1,Dormant Customers
CUST00044,72,3,2724.09,1.0,1,Dormant Customers
CUST00045,96,1,413.75,0.0,1,Dormant Customers
CUST00046,127,1,489.87,0.0,1,Dormant Customers
CUST00047,204,1,764.43,0.0,1,Dormant Customers
CUST00048,61,4,2450.45,1.0,1,Dormant Customers
CUST00049,8,1,380.83,0.0,1,Dormant Customers
CUST00050,0,3,2466.39,1.0,1,Loyal Customers
CUST00051,210,4,4444.3,2.0,1,At-Risk Spenders
CUST00052,55,3,2807.14,1.0,1,Dormant Customers
CUST00053,25,4,4192.59,2.0,1,Dormant Customers
CUST00054,6,1,489.85,0.0,1,Dormant Customers
